t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1778669769187,3236,5396,-15432,1023,-134,-31,click,day6_me
1778669769187,3444,5384,-15140,1107,-735,-104,click,day6_me
1778669769187,3508,5388,-14852,1361,-1389,-271,click,day6_me
1778669769188,3396,5292,-15012,1558,-2770,-293,click,day6_me
1778669769188,3172,5260,-14900,1742,-3174,-362,click,day6_me
1778669769247,3112,5272,-14676,2036,-3761,-436,click,day6_me
1778669769247,2728,5360,-14896,2541,-3555,-375,click,day6_me
1778669769247,2672,5208,-14404,4324,-2331,-238,click,day6_me
1778669769248,2424,4896,-14308,5068,-1830,-166,click,day6_me
1778669769248,2120,4436,-14280,4999,-1418,-289,click,day6_me
1778669769307,1876,4392,-14416,4141,-1421,-276,click,day6_me
1778669769307,1072,4500,-14856,2624,-3275,-99,click,day6_me
1778669769308,332,4760,-15420,2376,-3754,139,click,day6_me
1778669769308,-104,4828,-15492,2357,-3508,491,click,day6_me
1778669769309,168,4760,-15456,2697,-3116,936,click,day6_me
1778669769367,796,4692,-14328,4158,-2467,1506,click,day6_me
1778669769367,1680,4528,-13944,4834,-3022,1426,click,day6_me
1778669769368,1872,4068,-14064,5124,-3269,1345,click,day6_me
1778669769368,1260,3856,-14408,4299,-2643,1242,click,day6_me
1778669774377,-2400,3540,-16680,-114,104,-20,click,day6_me
1778669774391,-2240,3728,-16712,-243,-221,-97,click,day6_me
1778669774407,-2612,3936,-16856,-101,-490,-82,click,day6_me
1778669774422,-2708,3992,-16960,-62,-269,-56,click,day6_me
1778669774437,-2596,3956,-16848,160,-226,-19,click,day6_me
1778669774437,-2488,3900,-16996,364,-196,-125,click,day6_me
1778669774452,-2720,3820,-16972,130,627,139,click,day6_me
1778669774467,-2608,3860,-16960,167,774,177,click,day6_me
1778669774482,-2356,3808,-16800,253,532,112,click,day6_me
1778669774497,-2224,3776,-16620,246,188,35,click,day6_me
1778669774512,-2356,3700,-16548,210,-15,50,click,day6_me
1778669774512,-2296,3592,-16732,163,-283,-118,click,day6_me
1778669774527,-2436,3664,-16756,-138,-429,-73,click,day6_me
1778669774542,-2516,3780,-16772,-352,-496,-122,click,day6_me
1778669774557,-2428,3960,-16668,-105,-549,-145,click,day6_me
1778669774572,-2472,3792,-16888,-144,-892,-293,click,day6_me
1778669774587,-2856,3824,-17140,-249,-467,-115,click,day6_me
1778669774587,-2672,3892,-17084,-150,-94,-17,click,day6_me
1778669774602,-2496,3960,-16824,-106,-128,-45,click,day6_me
1778669774617,-2752,3944,-17308,65,-59,92,click,day6_me
1778669774632,-3600,3884,-17348,-51,1045,332,click,day6_me
1778669774647,-3760,3844,-18084,-284,3088,550,click,day6_me
1778669774647,-5296,4056,-19368,-945,7520,1547,click,day6_me
1778669774662,-8568,5256,-22036,-906,25887,5438,click,day6_me
1778669774677,-7660,4784,-19344,721,32767,8838,click,day6_me
1778669774692,-88,3332,-15868,2625,32767,7897,click,day6_me
1778669774707,1600,2436,-15208,1318,31164,5668,click,day6_me
1778669774726,2204,3896,-16192,-3030,22709,4577,click,day6_me
1778669774737,2136,4348,-15592,-1298,21182,4313,click,day6_me
1778669774737,2368,3752,-16868,-780,21709,3246,click,day6_me
1778669774752,1060,3332,-16988,-2286,24279,4467,click,day6_me
1778669774766,5776,4000,-14624,-5946,18931,4669,click,day6_me
1778669774782,7192,4620,-14252,-4829,12544,3072,click,day6_me
1778669774797,6628,4828,-14548,-3281,7052,1538,click,day6_me
1778669774797,6204,4264,-14244,-1486,1715,-34,click,day6_me
1778669774812,12004,664,-8888,-208,-32488,-14649,click,day6_me
1778669774827,12128,284,-2944,-1779,-32768,-19790,click,day6_me
1778669774842,4676,2792,-7196,-4249,-32768,-19459,click,day6_me
1778669774857,-1908,2760,-9084,-4710,-32768,-20025,click,day6_me
1778669774872,-9100,5220,-15168,-8264,-32768,-14723,click,day6_me
1778669774887,-24764,26460,-32768,-13991,-32768,11855,click,day6_me
1778669774887,-18652,11064,-5420,22538,31489,18561,click,day6_me
1778669774902,10176,1396,-16900,2985,3518,-1669,click,day6_me
1778669774917,1000,4612,-14080,2009,-10290,-1239,click,day6_me
1778669774932,-5716,5156,-13072,3322,-6249,-953,click,day6_me
1778669774947,-4688,2708,-15128,3384,-5617,-231,click,day6_me
1778669774961,-8880,4380,-17316,-5262,-4613,400,click,day6_me
1778669774977,-11340,6272,-18344,-5379,-1532,-856,click,day6_me
1778669774977,-12860,6492,-17712,-1639,4656,-2123,click,day6_me
1778669774992,-9684,5284,-18072,2100,13959,-905,click,day6_me
1778669775011,-3816,936,-21580,-4461,32767,12437,click,day6_me
1778669775022,-7296,1032,-20612,-14800,32767,18211,click,day6_me
1778669775037,-10132,3752,-12228,-18074,32767,26994,click,day6_me
1778669775052,-4876,7040,-5576,-13469,32767,26109,click,day6_me
1778669775052,13008,9756,-8724,12218,17802,5761,click,day6_me
1778669775066,5548,5788,-12388,18099,5962,5190,click,day6_me
1778669775082,4844,1088,-14164,14651,-305,4639,click,day6_me
1778669775097,5592,-1032,-13828,8164,-5492,2578,click,day6_me
1778669775112,3836,1152,-15520,-3435,-13133,-2961,click,day6_me
1778669775127,1548,3056,-17488,-5194,-11038,-3019,click,day6_me
1778669775127,-60,4584,-18356,-5420,-6443,-1804,click,day6_me
1778669775142,-416,5608,-19224,-4715,-1131,-498,click,day6_me
1778669775157,2664,5964,-16960,-208,2123,190,click,day6_me
1778669775176,3504,5320,-16212,1322,173,-226,click,day6_me
1778669775187,3428,4988,-16200,1665,-1385,-176,click,day6_me
1778669775187,2556,4576,-16776,1449,-1747,-4,click,day6_me
1778669775201,2096,4452,-16924,1031,-1527,114,click,day6_me
1778669775216,2248,4468,-16656,904,-1674,278,click,day6_me
1778669775232,2812,4324,-16036,1085,-2429,219,click,day6_me
1778669775247,3452,4144,-16212,1324,-3303,51,click,day6_me
1778669775262,1200,3588,-17088,353,-1347,-120,click,day6_me
1778669775277,1940,3648,-17132,-313,-363,-302,click,day6_me
1778669775277,1680,4044,-17068,-844,408,-212,click,day6_me
1778669775292,2164,4316,-16652,-592,623,-168,click,day6_me
1778669775307,2620,4352,-16480,28,-545,-622,click,day6_me
1778669775322,2660,4360,-16472,37,-1097,-715,click,day6_me
1778669775337,2496,4508,-16696,53,-1436,-917,click,day6_me
1778669775337,2024,4672,-16892,16,-1436,-815,click,day6_me
1778669775352,2092,4848,-16880,139,-1598,-707,click,day6_me
