t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1778669767988,1376,3816,-16432,-796,-984,-35,click,day6_me
1778669768002,1448,3840,-16512,-836,-1264,-219,click,day6_me
1778669768017,1232,3948,-16652,-916,-1280,-178,click,day6_me
1778669768032,1248,3992,-16752,-901,-1226,-251,click,day6_me
1778669768047,1228,4012,-16920,-609,-1226,-378,click,day6_me
1778669768062,752,4384,-17400,-822,-683,-728,click,day6_me
1778669768077,752,4964,-17236,-873,-185,-384,click,day6_me
1778669768077,1156,5184,-16972,174,-221,-118,click,day6_me
1778669768092,1272,4852,-16884,1581,-611,-211,click,day6_me
1778669768107,788,3572,-17176,1562,-472,-217,click,day6_me
1778669768122,744,3392,-17024,606,-321,-242,click,day6_me
1778669768137,840,3700,-16964,-162,-470,-271,click,day6_me
1778669768137,776,4028,-17132,-166,-602,-307,click,day6_me
1778669768152,552,4092,-17328,241,-664,-316,click,day6_me
1778669768167,336,3848,-17400,833,692,-229,click,day6_me
1778669768183,804,3716,-17056,556,495,-416,click,day6_me
1778669768197,904,3764,-16948,97,279,-444,click,day6_me
1778669768197,724,3976,-17108,-527,184,-364,click,day6_me
1778669768212,608,4184,-17300,-817,401,-213,click,day6_me
1778669768227,736,4408,-17204,-739,311,-168,click,day6_me
1778669768242,556,4524,-17304,-757,349,-146,click,day6_me
1778669768257,444,4688,-17264,-527,602,-96,click,day6_me
1778669768257,656,4756,-17208,26,726,-92,click,day6_me
1778669768272,964,4772,-16952,559,669,-97,click,day6_me
1778669768287,1104,4296,-16784,995,657,-70,click,day6_me
1778669768302,1272,4056,-16708,694,477,-9,click,day6_me
1778669768317,1132,3944,-16760,288,322,4,click,day6_me
1778669768319,1112,3876,-16836,-163,168,-47,click,day6_me
1778669768332,940,4032,-16992,-559,51,-2,click,day6_me
1778669768347,472,4352,-17096,-507,646,-61,click,day6_me
1778669768362,596,4216,-16940,-150,1147,-102,click,day6_me
1778669768377,728,4072,-17472,-296,1966,-144,click,day6_me
1778669768377,-64,4036,-17660,-534,3697,417,click,day6_me
1778669768392,1160,3868,-16888,-336,4058,348,click,day6_me
1778669768407,1620,3584,-16560,-1256,3731,94,click,day6_me
1778669768422,1744,3972,-16696,-1611,3382,-115,click,day6_me
1778669768437,1556,4096,-16580,-1385,3436,-341,click,day6_me
1778669768437,1856,4328,-16604,-1406,3092,-699,click,day6_me
1778669768452,2004,4344,-16400,-904,1121,-832,click,day6_me
1778669768467,1816,3964,-16972,-742,-610,-1521,click,day6_me
1778669768482,1100,3812,-17268,-700,-2534,-2579,click,day6_me
1778669768497,1080,3288,-15844,-574,-6281,-3895,click,day6_me
1778669768512,7020,516,-7848,2757,-32768,-20860,click,day6_me
1778669768527,4772,1308,-5972,-518,-32768,-22092,click,day6_me
1778669768527,-988,992,-6256,-4249,-32768,-24298,click,day6_me
1778669768542,-9508,3548,-9744,-5750,-32768,-18399,click,day6_me
1778669768557,-10840,-188,-5072,13057,13574,904,click,day6_me
1778669768572,568,1484,-13048,-3001,4830,1213,click,day6_me
1778669768587,1592,6264,-16524,-7649,-11301,570,click,day6_me
1778669768587,-10680,10956,-15888,1270,-7395,-3479,click,day6_me
1778669768602,-8860,2600,-16116,3560,177,-2988,click,day6_me
1778669768616,-9116,4324,-15612,159,1391,-1855,click,day6_me
1778669768633,-8652,5244,-15964,169,2739,-439,click,day6_me
1778669768647,-7984,4452,-15652,-817,3532,728,click,day6_me
1778669768662,-8588,4356,-16808,-3525,2848,-1314,click,day6_me
1778669768677,-11124,3608,-18076,-4776,5145,-2384,click,day6_me
1778669768678,-14144,2808,-19220,-6243,11704,-1518,click,day6_me
1778669768692,-12508,3604,-19856,-7716,27127,2687,click,day6_me
1778669768707,-7688,3076,-22552,-13169,32767,18635,click,day6_me
1778669768722,-12204,2688,-16364,-21265,32767,31128,click,day6_me
1778669768737,-12012,4956,-7936,-23153,32767,32767,click,day6_me
1778669768752,-1116,9116,-852,-12019,32767,27498,click,day6_me
1778669768752,10748,11300,-7172,16653,12071,6433,click,day6_me
1778669768767,7012,4908,-12980,20151,2542,4402,click,day6_me
1778669768781,5068,-8,-13968,14894,-2286,1097,click,day6_me
1778669768797,6300,-1920,-13540,6287,-6260,-3762,click,day6_me
1778669768812,4588,2836,-14428,-9645,-11774,-4821,click,day6_me
1778669768827,2852,5552,-16216,-10141,-9833,-2916,click,day6_me
1778669768828,456,7436,-18284,-8011,-3360,-1313,click,day6_me
