t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1775476681069,-372,1292,-17256,-243,-211,-41,click,day1_me
1775476681126,-588,1508,-17604,-317,-41,141,click,day1_me
1775476681126,-412,1492,-17456,625,40,32,click,day1_me
1775476681126,-372,1324,-17516,960,61,62,click,day1_me
1775476681127,-352,1028,-17452,1050,45,79,click,day1_me
1775476681127,-280,752,-17384,851,-59,86,click,day1_me
1775476681186,-276,692,-17276,566,-194,24,click,day1_me
1775476681186,-284,780,-17376,217,-347,-103,click,day1_me
1775476681187,-248,784,-17424,26,-348,-149,click,day1_me
1775476681187,-440,936,-17484,-202,-163,-92,click,day1_me
1775476681187,-396,1148,-17380,-140,-112,-112,click,day1_me
1775476681246,-436,1064,-17616,-22,-75,-15,click,day1_me
1775476681246,-908,1064,-17912,-325,625,91,click,day1_me
1775476681246,-656,1244,-17540,-113,984,93,click,day1_me
1775476681247,-216,1264,-17488,146,657,-50,click,day1_me
1775476681306,-96,1140,-17592,123,275,13,click,day1_me
1775476681306,-184,1116,-17568,77,61,-27,click,day1_me
1775476681307,-388,1112,-17596,-12,74,47,click,day1_me
1775476681307,-560,1152,-17664,-139,217,208,click,day1_me
1775476681307,-756,1080,-18036,-310,740,306,click,day1_me
1775476681366,-896,1196,-17976,-334,1379,482,click,day1_me
1775476681366,-124,1264,-17632,286,1052,216,click,day1_me
1775476681366,-108,1152,-17432,498,900,99,click,day1_me
1775476681367,24,1012,-17432,666,712,-38,click,day1_me
1775476681367,-4,832,-17500,609,589,-78,click,day1_me
1775476681426,-80,716,-17336,210,669,34,click,day1_me
1775476681426,256,632,-17060,-288,268,35,click,day1_me
1775476681426,48,828,-17384,-693,153,-3,click,day1_me
1775476681427,-148,964,-17636,-987,489,3,click,day1_me
1775476681427,-380,1244,-17764,-809,1068,35,click,day1_me
1775476681441,-748,1356,-18116,-415,2243,-66,click,day1_me
1775476681441,-2036,1228,-18244,-466,8164,646,click,day1_me
1775476681456,-132,1028,-17876,107,8751,383,click,day1_me
1775476681471,68,504,-17712,-798,9306,481,click,day1_me
1775476681486,572,524,-17456,-2389,9515,1175,click,day1_me
1775476681500,-2476,924,-19148,-4652,17688,1975,click,day1_me
1775476681516,-928,1200,-18664,-4975,22010,3150,click,day1_me
1775476681516,872,1568,-17432,-5234,23596,3121,click,day1_me
1775476681546,2504,1724,-15920,-4358,22370,2856,click,day1_me
1775476681548,5076,1748,-15396,-2761,16255,1613,click,day1_me
1775476681561,4992,1868,-15516,-2588,14186,1416,click,day1_me
1775476681575,5228,2192,-15736,-2414,12514,1276,click,day1_me
1775476681591,4900,2592,-15696,-1624,11140,1122,click,day1_me
1775476681592,4400,2244,-16228,-1125,10987,2051,click,day1_me
1775476681606,4572,2132,-16188,-987,11515,2474,click,day1_me
1775476681621,5712,1740,-15808,-852,10596,1926,click,day1_me
1775476681636,6548,1104,-15336,-959,7867,582,click,day1_me
1775476681651,6168,-696,-15684,-2795,-501,-8205,click,day1_me
1775476681666,7144,-2104,-15160,-4579,-10921,-16483,click,day1_me
1775476681681,11944,-1108,-10708,-8597,-28339,-20819,click,day1_me
1775476681681,9492,6080,-7180,-3500,-32768,-20358,click,day1_me
1775476681696,4316,5992,-9544,9863,-32768,-22837,click,day1_me
1775476681710,-3480,4088,-12224,17184,-32768,-19163,click,day1_me
1775476681726,-8168,2244,-17260,13650,-32768,-12809,click,day1_me
1775476681740,-16352,-1128,-12592,7498,31130,12685,click,day1_me
1775476681756,-312,2376,-13784,3655,17826,3690,click,day1_me
1775476681771,8880,5844,-13192,2680,2287,1403,click,day1_me
1775476681771,248,-2868,-15524,6333,-6462,2049,click,day1_me
1775476681786,1732,-3780,-15620,-3531,-11561,804,click,day1_me
1775476681801,-584,1696,-15472,-7272,-15887,-1324,click,day1_me
1775476681816,-3796,4568,-16996,-3603,-17528,-2600,click,day1_me
1775476681830,-8100,2208,-18540,1,-5435,-478,click,day1_me
1775476681846,-5468,2124,-18272,-777,-2300,418,click,day1_me
1775476681858,-4976,2760,-17920,-1108,501,1315,click,day1_me
1775476681868,-5332,2720,-17904,-468,3160,1546,click,day1_me
1775476681875,-6780,2020,-18772,-1212,9881,1451,click,day1_me
1775476681891,-6348,1316,-19396,-1920,12806,1273,click,day1_me
1775476681906,-8360,92,-22124,-4403,20448,2185,click,day1_me
1775476681921,-4552,-1300,-10104,-7852,23466,-696,click,day1_me
1775476681936,-4328,3460,-18600,-11908,11456,-3545,click,day1_me
1775476681936,-8844,4620,-17412,-11323,31495,5312,click,day1_me
1775476681951,648,3956,-16524,-11707,32767,18474,click,day1_me
1775476681966,2916,4932,-16528,-10936,32767,12534,click,day1_me
1775476681981,2232,5884,-14972,-3594,28986,10704,click,day1_me
1775476681996,3732,5812,-14708,1874,23360,7578,click,day1_me
1775476682011,4216,4240,-14784,5759,17227,4568,click,day1_me
1775476682012,5072,1552,-15556,4791,7770,1533,click,day1_me
1775476682025,4724,1032,-15908,1754,4675,77,click,day1_me
1775476682041,4760,1284,-15588,-1469,2113,-767,click,day1_me
1775476682056,5572,2320,-14952,-3482,-1025,-1256,click,day1_me
1775476682070,3612,4252,-15988,-3410,-3215,-1755,click,day1_me
1775476682086,3344,4680,-16104,-1561,-2775,-1243,click,day1_me
1775476682086,3216,4760,-16492,212,-2007,-872,click,day1_me
1775476682101,2660,4332,-16664,1087,-784,80,click,day1_me
1775476682116,2764,3840,-16700,1102,1384,1112,click,day1_me
1775476682131,3372,3728,-16272,1116,1553,1479,click,day1_me
1775476682145,4080,3516,-16092,1178,780,1215,click,day1_me
1775476682162,3676,3388,-16440,794,121,865,click,day1_me
1775476682163,3256,3584,-16900,196,-54,391,click,day1_me
1775476682182,2696,3648,-16832,228,498,410,click,day1_me
1775476682190,3048,3512,-16764,630,852,496,click,day1_me
1775476682206,3668,3356,-16464,865,268,81,click,day1_me
1775476682221,3876,3216,-16240,770,-620,-145,click,day1_me
1775476682221,3396,3304,-16716,306,-1082,-201,click,day1_me
1775476682236,3384,3336,-16512,354,-992,-133,click,day1_me
1775476682251,3700,3400,-16384,628,-1431,-292,click,day1_me
1775476682266,3784,3400,-16388,894,-2122,-562,click,day1_me
1775476682281,2600,3212,-17048,491,-1033,-169,click,day1_me
1775476682296,2428,3328,-17056,14,253,307,click,day1_me
1775476682296,3172,3576,-16732,276,508,358,click,day1_me
1775476682311,3424,3404,-16712,788,390,233,click,day1_me
1775476682326,3180,2976,-16984,151,963,247,click,day1_me
1775476682340,3292,3124,-16988,-238,1061,-21,click,day1_me
1775476682356,2952,3148,-16820,-414,1330,49,click,day1_me
1775476682386,3324,3120,-16752,-449,1122,-35,click,day1_me
1775476682386,3688,3496,-16492,-729,-476,-556,click,day1_me
1775476682386,3664,3588,-16424,-311,-1052,-594,click,day1_me
