t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1778654979852,14164,780,-8720,-426,-789,-146,swipe_up,day1_me
1778654979865,14400,660,-8472,-115,-957,-131,swipe_up,day1_me
1778654979880,14380,668,-8332,-156,-1447,90,swipe_up,day1_me
1778654979880,14088,348,-8296,-331,-2832,698,swipe_up,day1_me
1778654979896,14288,456,-8248,-116,-3267,447,swipe_up,day1_me
1778654979910,13408,680,-8920,363,-2839,254,swipe_up,day1_me
1778654979926,13572,516,-8948,748,-2070,198,swipe_up,day1_me
1778654979941,13728,104,-8816,919,-2247,-482,swipe_up,day1_me
1778654979956,13732,160,-8928,521,-2410,-110,swipe_up,day1_me
1778654979956,13664,-20,-8960,-16,-2363,-240,swipe_up,day1_me
1778654979971,13844,232,-8996,-326,-2817,-332,swipe_up,day1_me
1778654979986,13780,624,-9712,197,-2921,-524,swipe_up,day1_me
1778654980001,12860,584,-10256,151,-2984,-391,swipe_up,day1_me
1778654980015,13332,448,-10320,-234,-3026,-98,swipe_up,day1_me
1778654980030,13728,640,-9768,68,-2952,-594,swipe_up,day1_me
1778654996636,-2800,3648,-16988,156,-314,-169,swipe_up,day2_me
1778654996650,-2972,3400,-16928,331,-126,-154,swipe_up,day2_me
1778654996665,-2844,3344,-16972,210,79,-298,swipe_up,day2_me
1778654996681,-2912,3472,-16960,180,38,-226,swipe_up,day2_me
1778654996681,-2836,3480,-16744,238,-219,-252,swipe_up,day2_me
1778654996696,-2892,3452,-16896,181,-388,-262,swipe_up,day2_me
1778654996710,-2860,3596,-16976,339,-469,-249,swipe_up,day2_me
1778654996726,-3276,3468,-17344,400,258,-210,swipe_up,day2_me
1778654996741,-2948,3360,-17196,464,1856,-692,swipe_up,day2_me
1778654996756,-2620,3452,-16836,403,1365,-459,swipe_up,day2_me
1778654996756,-2304,3476,-16744,107,112,79,swipe_up,day2_me
1778654996771,-2820,3472,-16976,105,-282,159,swipe_up,day2_me
1778654996786,-2772,3372,-17076,67,-246,-20,swipe_up,day2_me
1778654996801,-2708,3232,-16968,-170,-492,49,swipe_up,day2_me
1778654996818,-2856,3204,-17040,-333,-615,68,swipe_up,day2_me
1778654996831,-2980,3252,-17236,-479,-469,-10,swipe_up,day2_me
1778654996831,-2876,3492,-17452,-307,-366,-7,swipe_up,day2_me
1778654996846,-2912,3356,-17432,-302,-212,-11,swipe_up,day2_me
1778654996861,-2916,3400,-17308,-472,-195,-51,swipe_up,day2_me
1778654996875,-2900,3456,-17192,-568,-296,-38,swipe_up,day2_me
1778654996891,-2936,3688,-17244,-382,-179,91,swipe_up,day2_me
1778654996906,-2840,3696,-17108,-199,-313,241,swipe_up,day2_me
1778654996906,-2712,3816,-17116,-10,-840,748,swipe_up,day2_me
1778654996921,-2592,3708,-16996,174,-1711,1044,swipe_up,day2_me
1778654996936,-3108,3404,-17348,-152,-1528,428,swipe_up,day2_me
1778654996951,-3040,3528,-17404,-256,-1497,300,swipe_up,day2_me
1778654996966,-3012,3692,-17384,-126,-1712,225,swipe_up,day2_me
