t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1778672109834,-4056,-16156,-3364,-126,252,-62,swipe_left,day1_me
1778672109861,-3964,-16048,-3472,-244,484,-33,swipe_left,day1_me
1778672109862,-3948,-15992,-3420,-302,560,-49,swipe_left,day1_me
1778672109877,-3920,-15848,-3524,-250,738,-63,swipe_left,day1_me
1778672109891,-3924,-15596,-3396,-343,1265,103,swipe_left,day1_me
1778672109891,-3756,-15532,-3376,-217,1430,106,swipe_left,day1_me
1778672109906,-3960,-15508,-3392,-242,1515,96,swipe_left,day1_me
1778672109921,-3504,-15696,-3004,-382,1488,164,swipe_left,day1_me
1778672109936,-3820,-15376,-3308,7,1553,39,swipe_left,day1_me
1778672109951,-3724,-15352,-3436,197,1800,220,swipe_left,day1_me
1778672109967,-3700,-15364,-3448,123,1747,561,swipe_left,day1_me
1778672109967,-3792,-15424,-3616,44,1872,869,swipe_left,day1_me
1778672109982,-4016,-15496,-3632,-96,2231,1211,swipe_left,day1_me
1778672109997,-4088,-15800,-3760,-605,2816,1532,swipe_left,day1_me
1778672110012,-4096,-15976,-3672,-1615,2979,1734,swipe_left,day1_me
1778672114587,-1272,-15464,-6596,22,306,-64,swipe_left,day1_me
1778672114602,-1008,-15376,-6452,161,326,-141,swipe_left,day1_me
1778672114616,-1016,-15324,-6424,216,142,-47,swipe_left,day1_me
1778672114617,-1028,-15276,-6516,9,135,51,swipe_left,day1_me
1778672114631,-1040,-15316,-6428,-68,295,74,swipe_left,day1_me
1778672114646,-888,-15364,-6432,-241,75,71,swipe_left,day1_me
1778672114661,-1124,-15192,-6632,-120,-62,12,swipe_left,day1_me
1778672114678,-1068,-15148,-6584,207,62,-45,swipe_left,day1_me
1778672114678,-1024,-15360,-6592,396,-24,-75,swipe_left,day1_me
1778672114692,-1148,-15524,-6484,291,-116,-49,swipe_left,day1_me
1778672114707,-1104,-15436,-6516,-42,-29,-75,swipe_left,day1_me
1778672114722,-1076,-15340,-6552,-103,80,-161,swipe_left,day1_me
1778672114737,-1008,-15152,-6492,-53,141,-133,swipe_left,day1_me
1778672114737,-944,-15196,-6508,42,-20,-88,swipe_left,day1_me
1778672114752,-1032,-15292,-6424,-150,-40,-35,swipe_left,day1_me
1778672114767,-1072,-15292,-6564,-142,-74,-1,swipe_left,day1_me
1778672114781,-996,-15368,-6652,-219,-161,190,swipe_left,day1_me
1778672114797,-1084,-15412,-6628,-113,-263,159,swipe_left,day1_me
1778672114812,-1240,-15488,-6600,212,76,18,swipe_left,day1_me
1778672114812,-1024,-15496,-6428,318,19,-81,swipe_left,day1_me
1778672114827,-1120,-15652,-6440,183,-30,-119,swipe_left,day1_me
1778672114842,-1052,-15616,-6352,-13,29,-159,swipe_left,day1_me
1778672114857,-1032,-15476,-6644,-143,-261,-104,swipe_left,day1_me
1778672114872,-1112,-15464,-6752,-214,-279,-155,swipe_left,day1_me
1778672114886,-1116,-15472,-6692,-256,-162,-170,swipe_left,day1_me
1778672114887,-1040,-15420,-6700,-309,-165,-186,swipe_left,day1_me
