t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1778672091847,-2536,-16180,-3068,-598,2050,-114,swipe_left,day1_me
1778672091857,-2352,-16036,-3272,-571,1501,-199,swipe_left,day1_me
1778672091861,-2376,-15964,-3248,-534,315,193,swipe_left,day1_me
1778672091876,-2664,-15672,-3252,-323,464,320,swipe_left,day1_me
1778672091891,-2492,-15640,-3260,-437,508,599,swipe_left,day1_me
1778672091906,-2412,-15572,-3348,-521,410,769,swipe_left,day1_me
1778672091921,-2484,-15468,-3336,-526,441,902,swipe_left,day1_me
1778672091921,-2512,-15200,-3656,-446,404,1403,swipe_left,day1_me
1778672091937,-2824,-15156,-3888,-161,553,1543,swipe_left,day1_me
1778672091952,-2884,-15132,-4240,-79,869,1831,swipe_left,day1_me
1778672091967,-3072,-15200,-4280,-9,1273,2100,swipe_left,day1_me
1778672091982,-3268,-15224,-4544,-11,2086,2361,swipe_left,day1_me
1778672091982,-3628,-15076,-4988,-478,4150,3431,swipe_left,day1_me
1778672091997,-3616,-15420,-5588,-983,4965,4112,swipe_left,day1_me
1778672092011,-4184,-15504,-6244,-1695,5939,4903,swipe_left,day1_me
1778672092027,-4544,-15016,-7008,-1936,7305,5287,swipe_left,day1_me
1778672096841,-340,-15184,-6896,-126,86,-182,swipe_left,day1_me
1778672096856,-296,-15240,-6848,-294,64,-198,swipe_left,day1_me
1778672096856,-244,-15184,-6724,-315,-35,-225,swipe_left,day1_me
1778672096872,-204,-15136,-6904,-271,26,-288,swipe_left,day1_me
1778672096887,-260,-14984,-6984,45,89,-185,swipe_left,day1_me
1778672096902,-172,-15224,-7024,5,-52,-113,swipe_left,day1_me
1778672096916,-276,-15184,-7000,-104,22,-53,swipe_left,day1_me
1778672096931,-256,-15040,-7060,-40,130,-133,swipe_left,day1_me
1778672096931,-236,-15084,-7036,112,99,-121,swipe_left,day1_me
1778672096947,-140,-15140,-6836,194,-404,-65,swipe_left,day1_me
1778672096962,-360,-15192,-6808,58,-338,-79,swipe_left,day1_me
1778672096977,-404,-15092,-7200,-31,-132,-137,swipe_left,day1_me
1778672096977,-408,-15008,-7228,30,99,-171,swipe_left,day1_me
1778672096992,-368,-14972,-7316,92,284,-148,swipe_left,day1_me
1778672097007,-220,-15028,-7360,178,268,-118,swipe_left,day1_me
1778672097021,-272,-15064,-7112,184,167,-93,swipe_left,day1_me
1778672097037,-212,-15132,-7056,101,164,-15,swipe_left,day1_me
1778672097037,-248,-15180,-7044,114,64,52,swipe_left,day1_me
1778672097052,-328,-15276,-7056,-55,122,57,swipe_left,day1_me
1778672097066,-240,-15224,-6884,-211,0,43,swipe_left,day1_me
1778672097082,-140,-15052,-6764,-71,-68,4,swipe_left,day1_me
1778672097082,-248,-15088,-6760,70,-48,2,swipe_left,day1_me
1778672097097,-376,-15120,-7056,51,212,-4,swipe_left,day1_me
1778672097112,-352,-15264,-6860,-159,614,107,swipe_left,day1_me
1778672097127,0,-15468,-6620,-843,137,284,swipe_left,day1_me
1778672097142,-112,-15328,-6740,-896,-59,267,swipe_left,day1_me
1778672097156,-128,-14988,-6828,-686,9,305,swipe_left,day1_me
1778672097157,-32,-14960,-6732,-263,-193,350,swipe_left,day1_me
1778672097172,-12,-15064,-6708,87,-578,315,swipe_left,day1_me
1778672097187,-460,-15656,-6560,324,-806,55,swipe_left,day1_me
1778672097202,-468,-15820,-6524,184,-759,145,swipe_left,day1_me
1778672097217,-284,-15804,-6352,78,-879,-45,swipe_left,day1_me
1778672097217,-320,-15968,-6180,90,-1216,-88,swipe_left,day1_me
1778672097232,-576,-16120,-6284,-414,-1174,-9,swipe_left,day1_me
1778672097247,-384,-15980,-6444,-735,-1661,-187,swipe_left,day1_me
1778672097261,-396,-15988,-6488,-669,-2119,-391,swipe_left,day1_me
1778672097277,-556,-15808,-6624,-532,-2302,-473,swipe_left,day1_me
1778672097277,-492,-15716,-6720,-328,-2521,-522,swipe_left,day1_me
1778672097292,-216,-15840,-6068,174,-3388,-927,swipe_left,day1_me
1778672097306,52,-15944,-5676,975,-4484,-1765,swipe_left,day1_me
1778672097321,244,-16168,-4408,1382,-5728,-2533,swipe_left,day1_me
1778672097337,948,-15608,-2892,1939,-6749,-3794,swipe_left,day1_me
1778672097352,1632,-14048,-1028,4475,-8909,-3416,swipe_left,day1_me
1778672097352,3212,-14836,160,5745,-23691,-2243,swipe_left,day1_me
1778672097367,1712,-14988,792,6631,-30989,-1794,swipe_left,day1_me
1778672097382,-172,-15616,1296,9726,-32768,-3419,swipe_left,day1_me
1778672097397,-1004,-16756,1084,12032,-32768,-4882,swipe_left,day1_me
1778672097412,-3596,-17868,340,10458,-32768,-6094,swipe_left,day1_me
1778672097427,-4868,-17776,428,9635,-32768,-6480,swipe_left,day1_me
1778672097427,-6300,-18168,964,8805,-32768,-7472,swipe_left,day1_me
1778672097442,-6928,-18656,2040,6368,-32768,-7398,swipe_left,day1_me
1778672097457,-6800,-17624,3404,-1292,-32768,-5614,swipe_left,day1_me
1778672097472,-6432,-16524,2384,-4503,-32768,-4584,swipe_left,day1_me
1778672097487,-5832,-14412,540,-4409,-32768,-4015,swipe_left,day1_me
1778672097492,-6780,-15036,-1140,-3094,-32768,-3398,swipe_left,day1_me
1778672097501,-9104,-14600,-6876,187,-32768,-3966,swipe_left,day1_me
1778672097516,-9464,-14688,-9252,2636,-32768,-4365,swipe_left,day1_me
1778672097532,-9668,-15348,-10892,4304,-32768,-3925,swipe_left,day1_me
1778672097547,-9868,-16176,-11524,4632,-32768,-3271,swipe_left,day1_me
1778672097562,-10252,-17584,-11908,88,-17823,-1529,swipe_left,day1_me
1778672097577,-9336,-17652,-11852,-2980,-10508,-792,swipe_left,day1_me
1778672097577,-8184,-17040,-11496,-6002,-4867,212,swipe_left,day1_me
1778672097591,-7284,-16012,-10988,-7726,-486,477,swipe_left,day1_me
1778672097606,-5848,-14240,-8760,-7037,6204,663,swipe_left,day1_me
1778672097622,-4872,-13852,-7232,-5655,8656,719,swipe_left,day1_me
1778672097636,-3980,-13736,-5984,-4309,9554,843,swipe_left,day1_me
1778672097636,-3316,-13996,-4760,-3193,9430,1232,swipe_left,day1_me
1778672097651,-2728,-14984,-2988,-1475,7777,998,swipe_left,day1_me
1778672097666,-2584,-15700,-2464,-936,6595,368,swipe_left,day1_me
1778672097681,-2480,-15856,-2348,-664,5032,-266,swipe_left,day1_me
1778672097696,-2472,-15840,-2296,-479,3192,-526,swipe_left,day1_me
1778672097712,-2808,-15596,-2808,-380,371,-584,swipe_left,day1_me
1778672097712,-2608,-15356,-3408,-214,-765,-36,swipe_left,day1_me
1778672097727,-2804,-15528,-3832,-102,-1579,282,swipe_left,day1_me
1778672097742,-3268,-15796,-4248,-335,-1376,579,swipe_left,day1_me
1778672097757,-3208,-15792,-4664,-1098,-313,1022,swipe_left,day1_me
1778672097772,-3268,-15732,-4640,-1260,70,1230,swipe_left,day1_me
