t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1778672261827,-6880,-3204,-15556,108,732,1311,swipe_left,day2_me
1778672261828,-6704,-3412,-15356,-136,915,1547,swipe_left,day2_me
1778672261842,-6612,-3484,-15364,-566,795,1740,swipe_left,day2_me
1778672261857,-6624,-3348,-15440,-1066,778,1844,swipe_left,day2_me
1778672261872,-6704,-3096,-15440,-1191,974,1833,swipe_left,day2_me
1778672261888,-6496,-2428,-15352,-927,1236,1597,swipe_left,day2_me
1778672261888,-6452,-2184,-15312,-500,1112,1612,swipe_left,day2_me
1778672261902,-6444,-2040,-15124,-64,886,1579,swipe_left,day2_me
1778672261917,-6520,-2112,-15308,200,623,1608,swipe_left,day2_me
1778672261933,-7176,-1624,-15840,216,550,1995,swipe_left,day2_me
1778672261948,-7408,-1376,-16048,492,743,2117,swipe_left,day2_me
1778672261963,-7544,-1248,-16416,658,917,2284,swipe_left,day2_me
1778672261963,-7748,-956,-16444,750,1224,2559,swipe_left,day2_me
1778672261977,-7772,-88,-16340,861,1909,2987,swipe_left,day2_me
1778672261992,-7756,420,-16516,1003,1949,3369,swipe_left,day2_me
1778672262007,-7764,1000,-16432,1538,1908,3698,swipe_left,day2_me
1778672262022,-7908,1352,-16688,2318,1905,4118,swipe_left,day2_me
1778672262038,-8268,1756,-16776,3730,2762,5192,swipe_left,day2_me
1778672262038,-8332,1828,-16796,3978,3449,5738,swipe_left,day2_me
1778672267332,-6984,-2564,-15648,-60,-288,21,swipe_left,day2_me
1778672267347,-7120,-2628,-15808,-65,-211,-13,swipe_left,day2_me
1778672267362,-7204,-2696,-15788,-211,-7,-12,swipe_left,day2_me
1778672267363,-7080,-2680,-15728,-305,148,-64,swipe_left,day2_me
1778672267378,-7088,-2744,-15564,-256,-80,-38,swipe_left,day2_me
1778672267392,-7032,-2732,-15568,-360,25,-38,swipe_left,day2_me
1778672267407,-7048,-2580,-15572,-371,72,-52,swipe_left,day2_me
1778672267424,-7000,-2448,-15636,-253,95,-98,swipe_left,day2_me
1778672267438,-6980,-2396,-15548,-16,15,-81,swipe_left,day2_me
1778672267453,-7088,-2676,-15536,183,-86,-77,swipe_left,day2_me
1778672267467,-7208,-2656,-15492,195,64,-68,swipe_left,day2_me
1778672267497,-7012,-2728,-15480,141,43,-90,swipe_left,day2_me
1778672267498,-6996,-2788,-15380,6,-45,-108,swipe_left,day2_me
1778672267498,-7036,-2684,-15596,-141,-51,-57,swipe_left,day2_me
1778672267498,-7124,-2496,-15636,-237,-28,-51,swipe_left,day2_me
1778672267513,-7208,-2432,-15616,-167,-10,-49,swipe_left,day2_me
1778672267543,-7184,-2536,-15648,-5,87,-88,swipe_left,day2_me
1778672267543,-7104,-2700,-15664,-43,132,-144,swipe_left,day2_me
1778672267558,-7040,-2604,-15624,-134,8,-100,swipe_left,day2_me
1778672267558,-7032,-2684,-15672,-238,-19,-30,swipe_left,day2_me
1778672267573,-7084,-2564,-15684,-267,69,-106,swipe_left,day2_me
1778672267588,-7004,-2300,-15772,-106,135,-147,swipe_left,day2_me
1778672267602,-7052,-2492,-15612,315,262,-114,swipe_left,day2_me
1778672267618,-6916,-2600,-15452,169,208,-89,swipe_left,day2_me
1778672267633,-6848,-2636,-15508,-18,46,-52,swipe_left,day2_me
1778672267633,-6980,-2600,-15516,-88,-63,-51,swipe_left,day2_me
1778672267648,-7068,-2528,-15712,-23,-37,-88,swipe_left,day2_me
1778672267662,-7016,-2472,-15580,-110,112,-14,swipe_left,day2_me
1778672267677,-7028,-2596,-15656,-60,88,-8,swipe_left,day2_me
1778672267693,-6976,-2600,-15440,-52,-38,-23,swipe_left,day2_me
1778672267693,-6920,-2748,-15536,-101,-142,-4,swipe_left,day2_me
1778672267707,-6948,-2740,-15448,-172,-50,35,swipe_left,day2_me
1778672267722,-6960,-2896,-15288,-153,-95,-14,swipe_left,day2_me
1778672267737,-6904,-3144,-15232,-260,-160,50,swipe_left,day2_me
1778672267753,-6944,-3480,-15312,-567,-156,-5,swipe_left,day2_me
1778672267782,-6896,-3628,-15096,-1188,-388,-150,swipe_left,day2_me
