t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1771228798531,-6424,-1708,-15964,-102,120,-116,idle,day2_me
1771228798531,-6440,-1724,-16064,-74,-17,-115,idle,day2_me
1771228798531,-6592,-1916,-16192,-200,-146,-204,idle,day2_me
1771228798532,-6864,-1528,-16184,-184,208,-372,idle,day2_me
1771228798590,-6716,-1540,-16044,35,570,-428,idle,day2_me
1771228798591,-6456,-1924,-15652,4,635,-491,idle,day2_me
1771228798591,-6316,-1588,-15404,-245,476,-658,idle,day2_me
1771228798592,-6144,-1308,-15088,-54,115,-525,idle,day2_me
1771228798592,-6152,-1252,-15136,-28,42,-531,idle,day2_me
1771228798651,-6152,-1132,-15112,-45,-50,-468,idle,day2_me
1771228798651,-6084,-1064,-14992,30,-206,-377,idle,day2_me
1771228798651,-6168,-924,-15256,29,-637,-268,idle,day2_me
1771228798652,-6284,-948,-15364,88,-691,-173,idle,day2_me
1771228798652,-6308,-984,-15396,114,-568,1,idle,day2_me
1771228798711,-6328,-1180,-15572,31,-507,72,idle,day2_me
1771228798711,-6248,-1152,-15524,-14,-647,117,idle,day2_me
1771228798711,-6360,-1412,-15784,98,-911,180,idle,day2_me
1771228798712,-6464,-1580,-16088,235,-910,111,idle,day2_me
1771228798712,-6588,-1800,-16224,211,-831,53,idle,day2_me
1771228803556,-6516,-2168,-15888,90,-44,271,idle,day2_me
1771228803571,-6528,-2236,-15888,170,273,126,idle,day2_me
1771228803571,-6132,-2084,-15664,289,297,53,idle,day2_me
1771228803586,-6236,-2180,-15608,147,66,85,idle,day2_me
1771228803601,-6264,-2072,-15708,118,-21,105,idle,day2_me
1771228803616,-6356,-2028,-15716,97,-28,138,idle,day2_me
1771228803631,-6396,-2092,-15644,64,-46,203,idle,day2_me
1771228803633,-6320,-2004,-15772,37,-203,126,idle,day2_me
1771228803646,-6396,-2016,-15708,102,-227,72,idle,day2_me
1771228803661,-6380,-2056,-15832,225,-118,70,idle,day2_me
1771228803676,-6424,-2104,-15752,231,-90,100,idle,day2_me
1771228803691,-6468,-2196,-15824,128,-123,113,idle,day2_me
1771228803691,-6536,-2216,-15940,32,-120,176,idle,day2_me
1771228803706,-6532,-2168,-15916,108,-147,103,idle,day2_me
1771228803721,-6528,-2192,-15848,239,-136,-29,idle,day2_me
1771228803736,-6528,-2100,-15736,283,-95,-80,idle,day2_me
1771228803751,-6444,-2112,-15784,285,-181,-95,idle,day2_me
1771228803766,-6412,-2020,-15768,206,-227,-49,idle,day2_me
1771228803766,-6492,-2196,-15884,163,-283,116,idle,day2_me
