t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1778669444405,2376,4716,-16228,381,-359,86,click,day4_me
1778669444405,2208,4680,-16352,205,-565,118,click,day4_me
1778669444405,2188,4644,-16392,142,-644,47,click,day4_me
1778669444405,2208,4836,-16372,50,-923,-116,click,day4_me
1778669444406,2224,4812,-16404,77,-1124,-194,click,day4_me
1778669444465,2064,4868,-16544,170,-1406,-254,click,day4_me
1778669444465,2024,4936,-16564,315,-1675,-282,click,day4_me
1778669444465,2036,4824,-16572,541,-1903,-214,click,day4_me
1778669444465,1860,4556,-16772,593,-1677,-114,click,day4_me
1778669444466,1888,4480,-16844,457,-1475,-207,click,day4_me
1778669444525,1936,4468,-16792,388,-1474,-266,click,day4_me
1778669444525,1680,4528,-17008,262,-1214,-376,click,day4_me
1778669444525,1372,4592,-17016,-236,611,129,click,day4_me
1778669444525,1612,4672,-16888,-300,718,66,click,day4_me
1778669444526,1900,4752,-16708,-107,415,-134,click,day4_me
1778669444585,1908,4736,-16520,147,40,-166,click,day4_me
1778669444585,1916,4732,-16608,256,-176,-158,click,day4_me
1778669444585,1768,4656,-16592,-82,-686,-201,click,day4_me
1778669444586,1676,4760,-16552,-165,-621,-286,click,day4_me
1778669444586,1804,4780,-16392,-125,-667,-265,click,day4_me
1778669449400,180,4540,-16548,113,187,-32,click,day4_me
1778669449414,224,4580,-16744,70,123,-118,click,day4_me
1778669449415,136,4580,-16632,-9,82,-102,click,day4_me
1778669449429,300,4588,-16536,-32,0,-116,click,day4_me
1778669449445,272,4624,-16496,-70,-181,-133,click,day4_me
1778669449460,304,4728,-16636,-76,-257,-169,click,day4_me
1778669449475,212,4720,-16644,-64,-278,-66,click,day4_me
1778669449475,216,4612,-16832,-54,-308,-123,click,day4_me
1778669449489,40,4660,-16928,-126,-83,-126,click,day4_me
1778669449504,-164,4772,-16884,162,750,57,click,day4_me
