t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1778669628080,-188,2780,-16376,-2272,-558,-972,click,day5_me
1778669628096,24,3432,-16720,-1742,-889,-1015,click,day5_me
1778669628126,200,3864,-16976,-909,-1289,-911,click,day5_me
1778669628126,-456,3848,-17216,81,-1002,-537,click,day5_me
1778669628126,-812,3652,-17352,632,120,-37,click,day5_me
1778669628186,20,3348,-16912,482,104,200,click,day5_me
1778669628186,-136,3508,-16964,543,-62,653,click,day5_me
1778669628187,-364,3592,-17128,816,507,1084,click,day5_me
1778669628187,-656,3428,-17372,1088,1555,1604,click,day5_me
1778669628188,-352,3264,-17212,1152,2091,1671,click,day5_me
1778669628246,284,3192,-16856,1464,853,1045,click,day5_me
1778669628246,328,3012,-16828,1549,340,840,click,day5_me
1778669628247,236,2816,-16900,1100,-41,731,click,day5_me
1778669628247,232,2916,-16816,624,-376,669,click,day5_me
1778669628248,96,3112,-16856,455,-698,568,click,day5_me
1778669633826,-1664,2600,-16872,152,561,94,click,day5_me
1778669633841,-1548,2484,-16872,9,-103,-55,click,day5_me
1778669633856,-1616,2496,-16904,40,-29,-66,click,day5_me
1778669633871,-1464,2552,-16872,190,-75,-97,click,day5_me
1778669633871,-1448,2340,-16832,193,-186,-123,click,day5_me
1778669633886,-1436,2344,-16820,68,-293,-154,click,day5_me
1778669633901,-1620,2460,-16980,-221,-289,-162,click,day5_me
1778669633916,-1752,2600,-17148,-212,-26,-144,click,day5_me
1778669633931,-1744,2636,-17292,-115,175,-26,click,day5_me
1778669633946,-1756,2668,-17072,100,231,-62,click,day5_me
1778669633946,-1744,2588,-17376,-90,123,24,click,day5_me
1778669633961,-1744,2592,-17384,-278,179,58,click,day5_me
1778669633976,-1684,2652,-17404,-315,66,-74,click,day5_me
1778669633991,-1688,2744,-17248,-214,-11,-92,click,day5_me
1778669634006,-1664,2728,-17332,75,-79,-68,click,day5_me
1778669634006,-1680,2500,-17380,226,-169,-80,click,day5_me
1778669634021,-1632,2504,-17268,-39,-120,-60,click,day5_me
1778669634036,-1624,2620,-17212,-278,-93,-40,click,day5_me
1778669634051,-1596,2668,-17236,-222,-179,-33,click,day5_me
1778669634066,-1684,2580,-17076,73,-158,-12,click,day5_me
1778669634066,-1504,2392,-17040,-40,-312,-142,click,day5_me
1778669634081,-1636,2404,-17004,-214,-288,-195,click,day5_me
1778669634096,-1752,2508,-17112,-351,-64,-151,click,day5_me
1778669634111,-2144,2720,-17308,-475,568,32,click,day5_me
1778669634126,-1296,2848,-16948,112,774,139,click,day5_me
1778669634126,-1204,2612,-16776,324,267,40,click,day5_me
1778669634141,-1444,2496,-17048,249,217,75,click,day5_me
1778669634156,-1864,2484,-17212,48,664,122,click,day5_me
1778669634171,-1660,2428,-17300,6,838,132,click,day5_me
1778669634186,-3440,2888,-18244,-119,4784,1187,click,day5_me
1778669634186,-1940,2672,-17156,510,6815,854,click,day5_me
1778669634201,-932,2696,-16768,1215,5229,1270,click,day5_me
1778669634216,-764,2104,-17452,1284,5093,232,click,day5_me
1778669634231,-3732,2124,-18500,-2415,16270,2464,click,day5_me
1778669634246,-400,3028,-17536,-2112,16740,2582,click,day5_me
1778669634261,472,3680,-16420,-595,15632,2625,click,day5_me
1778669634261,644,3456,-16340,1410,14096,2868,click,day5_me
1778669634276,1852,1660,-16064,1649,9489,1504,click,day5_me
1778669634291,1308,1616,-16880,-820,8452,901,click,day5_me
1778669634306,1416,2204,-17020,-2051,7830,1029,click,day5_me
1778669634321,1776,2652,-16840,-1744,6680,286,click,day5_me
1778669634336,4260,1644,-13396,79,-5995,-2924,click,day5_me
1778669634351,9580,-440,-10520,-47,-29182,-11594,click,day5_me
1778669634351,7292,-428,-8944,-107,-32768,-16532,click,day5_me
1778669634366,832,1192,-7224,1690,-32768,-19927,click,day5_me
1778669634380,-6352,1148,-9108,4984,-32768,-17677,click,day5_me
1778669634396,-14644,772,-17816,-3898,-32768,-11358,click,day5_me
1778669634411,-32768,17908,-32768,-10181,14802,28581,click,day5_me
1778669634426,-14996,-584,1080,8916,25680,-4005,click,day5_me
1778669634426,2448,4872,-16044,1697,-3413,-5013,click,day5_me
1778669634441,-8916,3264,-13736,5273,-2815,-2478,click,day5_me
1778669634456,-8360,-976,-14552,2975,2496,-2154,click,day5_me
1778669634471,-5992,-564,-15276,-2334,84,10,click,day5_me
1778669634486,-10012,2624,-15916,-2943,619,-1182,click,day5_me
1778669634501,-9828,3348,-15900,-1516,210,-1849,click,day5_me
1778669634501,-10260,3948,-16548,-111,-366,-3117,click,day5_me
1778669634516,-11552,3688,-16948,1432,2744,-3190,click,day5_me
1778669634531,-4052,2076,-14160,2844,15700,-1431,click,day5_me
1778669634546,-4548,2672,-22448,-596,20670,2583,click,day5_me
1778669634561,-8660,1456,-18916,-5866,32767,5046,click,day5_me
1778669634561,-8444,3208,-18812,-9109,32767,11563,click,day5_me
1778669634576,-8872,4836,-13792,-4239,32767,20151,click,day5_me
1778669634591,-4180,3572,-11196,2098,32767,17496,click,day5_me
1778669634605,3376,1220,-11624,6454,32767,8977,click,day5_me
1778669634621,7884,-20,-12040,3817,20551,3574,click,day5_me
1778669634636,3008,360,-15536,-1960,1196,-1743,click,day5_me
1778669634652,504,920,-16548,-3907,-705,-2320,click,day5_me
1778669634652,504,2224,-16572,-5588,-1600,-1370,click,day5_me
1778669634666,1280,3832,-16532,-4991,-3464,-1393,click,day5_me
1778669634681,-1216,4604,-18188,277,-2734,-761,click,day5_me
1778669634696,-1368,3820,-17964,1518,611,966,click,day5_me
1778669634711,-88,2956,-17840,1173,1995,1208,click,day5_me
1778669634711,-112,2864,-17252,333,2759,1617,click,day5_me
1778669634726,868,3168,-16680,157,2300,2111,click,day5_me
1778669634741,1152,3036,-16616,426,1191,1499,click,day5_me
1778669634756,1404,2688,-16604,290,-754,273,click,day5_me
1778669634771,1268,2556,-16576,-601,-1973,-498,click,day5_me
1778669634786,1108,3004,-16580,-1143,-3127,-742,click,day5_me
1778669634786,204,3272,-17108,-196,-3698,-788,click,day5_me
1778669634801,-476,3164,-17552,-245,-2387,-302,click,day5_me
1778669634816,-244,3192,-17324,-321,-886,98,click,day5_me
1778669634831,12,3404,-17104,4,-369,350,click,day5_me
1778669634846,576,3180,-16764,930,-1093,561,click,day5_me
1778669634846,496,2888,-16968,810,-1599,557,click,day5_me
1778669634861,420,2792,-16888,169,-2093,422,click,day5_me
1778669634876,364,3052,-16988,-140,-2659,302,click,day5_me
1778669634891,-312,3320,-17284,405,-2402,452,click,day5_me
1778669634906,-252,3224,-17584,700,-1853,498,click,day5_me
1778669634921,-780,3088,-17120,575,-896,372,click,day5_me
1778669634921,-272,2984,-17392,275,75,436,click,day5_me
1778669634936,-176,3156,-17184,-65,352,463,click,day5_me
