t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1778669608929,2112,4728,-16368,-970,-318,-253,click,day5_me
1778669608932,1944,4972,-16372,-847,-224,-263,click,day5_me
1778669608932,1904,5220,-16412,-518,80,-170,click,day5_me
1778669608942,2052,5252,-16396,86,410,160,click,day5_me
1778669608943,2256,5104,-16444,151,-10,81,click,day5_me
1778669608986,2248,5000,-16264,130,-241,171,click,day5_me
1778669608986,2356,4724,-16340,-134,-396,161,click,day5_me
1778669608986,2308,4800,-16464,-653,-677,-53,click,day5_me
1778669608987,2224,5296,-16528,-601,-700,77,click,day5_me
1778669608987,1928,5400,-16748,-65,-400,189,click,day5_me
1778669609048,1692,5180,-16792,324,191,587,click,day5_me
1778669609048,2064,4840,-16592,524,287,587,click,day5_me
1778669609048,2456,4592,-16488,276,-111,385,click,day5_me
1778669609048,2228,4568,-16492,-166,-558,190,click,day5_me
1778669609049,2144,4624,-16544,55,-671,121,click,day5_me
1778669609106,2088,4572,-16552,196,-732,94,click,day5_me
1778669609107,2116,4512,-16420,196,-719,74,click,day5_me
1778669609107,2004,4372,-16748,-14,-642,174,click,day5_me
1778669609107,1820,4544,-16648,-28,537,415,click,day5_me
1778669609108,2360,4684,-16368,69,100,302,click,day5_me
1778669609167,2324,4516,-16212,463,-188,279,click,day5_me
1778669609167,2276,4360,-16304,886,-397,225,click,day5_me
1778669609168,2220,3988,-16516,747,-282,43,click,day5_me
1778669609168,2076,4104,-16652,-843,-384,-7,click,day5_me
1778669614266,352,4328,-16608,252,-173,-84,click,day5_me
1778669614281,144,4388,-16712,-570,203,132,click,day5_me
1778669614296,344,4552,-16736,-582,-74,-89,click,day5_me
1778669614311,128,4780,-16804,-509,-123,-85,click,day5_me
1778669614311,200,4820,-16956,-283,-256,-95,click,day5_me
1778669614326,88,4908,-17008,55,-287,-168,click,day5_me
1778669614340,60,4732,-16988,166,-55,-71,click,day5_me
1778669614356,-112,4780,-16988,-95,324,246,click,day5_me
1778669614371,228,4684,-16876,8,233,161,click,day5_me
1778669614371,420,4560,-16740,49,-116,-24,click,day5_me
1778669614401,240,4692,-16912,-272,-216,32,click,day5_me
1778669614403,-12,4960,-17028,-94,153,98,click,day5_me
1778669614416,184,4936,-16948,196,159,97,click,day5_me
1778669614431,196,4764,-16852,184,136,183,click,day5_me
1778669614446,216,4640,-16828,58,135,157,click,day5_me
1778669614446,244,4688,-16700,52,138,153,click,day5_me
1778669614461,380,4496,-16648,207,110,158,click,day5_me
1778669614476,520,4408,-16552,10,-59,106,click,day5_me
1778669614491,356,4528,-16800,-267,-100,99,click,day5_me
1778669614491,200,4596,-16908,-379,150,87,click,day5_me
1778669614506,172,4752,-16756,-208,358,167,click,day5_me
1778669614521,304,4564,-16768,116,143,69,click,day5_me
1778669614536,192,4560,-16748,-95,358,126,click,day5_me
1778669614551,-68,4704,-16696,-107,866,322,click,day5_me
1778669614552,412,4656,-16568,315,753,269,click,day5_me
1778669614566,668,4456,-16376,489,278,92,click,day5_me
1778669614581,516,4288,-16532,-143,-27,1,click,day5_me
1778669614596,452,4452,-16544,-219,-165,-102,click,day5_me
1778669614611,412,4568,-16624,-99,-146,-188,click,day5_me
1778669614611,488,4592,-16572,123,-132,-113,click,day5_me
1778669614626,216,4524,-16688,253,158,-71,click,day5_me
1778669614641,496,4396,-16568,96,327,-1,click,day5_me
1778669614656,592,4404,-16548,-200,-50,-149,click,day5_me
1778669614671,324,4528,-16600,-386,-212,-134,click,day5_me
1778669614671,208,4636,-16808,-197,-98,-184,click,day5_me
1778669614686,112,4632,-16728,130,-35,-147,click,day5_me
1778669614701,336,4344,-16520,139,-139,-255,click,day5_me
1778669614716,280,4388,-16516,-143,-310,-257,click,day5_me
1778669614730,200,4564,-16544,-376,-363,-337,click,day5_me
1778669614731,100,4772,-16748,-423,-273,-226,click,day5_me
1778669614746,-224,4908,-16952,-253,586,3,click,day5_me
1778669614761,596,4724,-16556,279,649,-45,click,day5_me
1778669614776,596,4672,-16404,68,78,-83,click,day5_me
1778669614791,308,4744,-16704,-185,12,-11,click,day5_me
1778669614791,356,4816,-16768,-229,91,-42,click,day5_me
1778669614806,172,4948,-16700,-123,185,-2,click,day5_me
1778669614821,4,5092,-16776,229,939,383,click,day5_me
1778669614836,416,4972,-16728,621,936,283,click,day5_me
1778669614851,192,4924,-16800,596,965,474,click,day5_me
1778669614854,204,4776,-17036,614,1596,595,click,day5_me
1778669614866,-544,4800,-17392,585,3069,1065,click,day5_me
